Country,Sex,Age_Group,Income,Happiness,Mental_Health,Enrollment,Unemployment,Decriminalization,Imprisonment days,Drug law offences,Number of sites with NSP,Total Direct Expenditure,Risk
Finland,1,2,32309,72,53,86,11,0.0,180,27990.0,71,76.2,5.1024158024440347e-05
Finland,1,2,31293,71,54,89,11,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,44686,70,52,90,10,0.0,180,27990.0,71,76.2,8.542323847055185e-07
Finland,1,2,39245,70,50,90,10,0.0,180,27990.0,71,76.2,0.0001176684258193
Finland,1,2,31575,69,50,91,10,0.0,180,27990.0,71,76.2,0.0001063292623792
Finland,1,2,32718,76,48,77,10,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,48751,70,47,77,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,48130,75,48,78,7,0.0,180,27990.0,71,76.2,4.726722943252343e-05
Finland,1,2,51412,70,50,78,6,0.0,180,27990.0,71,76.2,4.501310124089533e-06
Finland,1,2,18416,74,51,77,6,0.0,180,27990.0,71,76.2,3.97399931244227e-05
Finland,1,2,32362,75,51,77,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,59090,75,51,77,8,0.0,180,27990.0,71,76.2,4.04456050800549e-06
Finland,1,2,35733,73,53,76,7,0.0,180,27990.0,71,76.2,0.0001355394300229
Finland,1,2,36314,75,49,75,7,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,27156,73,50,97,8,0.0,180,27990.0,71,76.2,0.0001441409693701
Finland,1,2,24319,76,49,97,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,52482,76,48,0,9,0.0,180,27990.0,71,76.2,7.696023904004512e-05
Finland,1,2,45196,78,48,0,8,0.0,180,27990.0,71,76.2,3.406201181895207e-05
Finland,1,2,57435,77,47,0,8,0.0,180,27990.0,71,76.2,9.27865242202223e-05
Finland,1,2,40678,78,49,0,7,0.0,180,27990.0,71,76.2,4.524932087660919e-05
Finland,1,2,41675,79,48,0,6,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,40235,79,40,0,7,0.0,180,27990.0,71,76.2,2.5364390581426085e-05
France,1,2,46652,69,72,87,10,0.0,365,352473.0,500,205.8,0.0
France,1,2,29756,70,72,87,8,0.0,365,352473.0,500,205.8,0.0
France,1,2,30932,70,73,86,8,0.0,365,352473.0,500,205.8,3.0056381785734606e-05
France,1,2,31060,71,71,86,8,0.0,365,352473.0,500,205.8,4.365137237906413e-05
France,1,2,35353,65,69,86,8,0.0,365,352473.0,500,205.8,0.0
France,1,2,28345,71,71,89,8,0.0,365,352473.0,500,205.8,0.0
France,1,2,27031,69,70,88,8,0.0,365,352473.0,500,205.8,6.172245312310607e-05
France,1,2,62694,61,69,88,7,0.0,365,352473.0,500,205.8,9.844958043566072e-05
France,1,2,47765,69,66,87,7,0.0,365,352473.0,500,205.8,0.0177459170183886
France,1,2,49788,70,68,86,8,0.0,365,352473.0,500,205.8,0.0
France,1,2,23966,68,66,87,8,0.0,365,352473.0,500,205.8,0.0
France,1,2,43752,65,66,87,8,0.0,365,352473.0,500,205.8,0.0
France,1,2,58290,63,64,87,9,0.0,365,352473.0,500,205.8,0.0002004467749454
France,1,2,46549,61,66,87,9,0.0,365,352473.0,500,205.8,0.0
France,1,2,40539,65,65,88,10,0.0,365,352473.0,500,205.8,0.0
France,1,2,34924,66,65,0,10,0.0,365,352473.0,500,205.8,0.0
France,1,2,42677,67,66,0,10,0.0,365,352473.0,500,205.8,8.971570062236178e-05
France,1,2,24429,67,66,0,9,0.0,365,352473.0,500,205.8,0.0
Germany,1,2,13572,70,46,97,9,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,17977,68,47,98,8,1.0,0,375379.0,349,343.2,5.268732392381321e-05
Germany,1,2,42573,70,45,99,7,1.0,0,375379.0,349,343.2,6.210469755392409e-05
Germany,1,2,30759,71,44,100,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,34824,71,47,100,8,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,41439,64,48,100,9,1.0,0,375379.0,349,343.2,6.591249291596121e-05
Germany,1,2,38879,69,49,100,10,1.0,0,375379.0,349,343.2,1.0899471274963846e-05
Germany,1,2,34695,64,49,99,11,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,46835,65,49,98,10,1.0,0,375379.0,349,343.2,4.732490959166353e-05
Germany,1,2,73508,64,51,95,8,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,29496,65,50,94,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,27838,66,50,92,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,39170,67,51,92,6,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,30878,68,51,90,5,1.0,0,375379.0,349,343.2,0.0002262059558937
Germany,1,2,42199,69,52,88,5,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,24565,69,51,87,5,1.0,0,375379.0,349,343.2,2.069693781782317e-05
Germany,1,2,42259,68,53,86,4,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,62163,73,52,0,4,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,33501,71,51,0,4,1.0,0,375379.0,349,343.2,2.655428353054498e-07
Germany,1,2,66552,69,51,0,3,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,52814,72,51,0,3,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,50825,71,50,0,3,1.0,0,375379.0,349,343.2,0.0
Germany,1,2,38506,69,39,0,3,1.0,0,375379.0,349,343.2,0.0
Hungary,1,2,16577,70,18,100,10,0.0,730,7504.0,33,5.4,2.6789825225198445e-05
Hungary,1,2,14729,68,15,100,8,0.0,730,7504.0,33,5.4,6.974673067162273e-05
Hungary,1,2,10657,69,16,100,8,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,15470,70,14,100,6,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,24906,68,16,100,5,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,20920,69,14,100,5,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,21151,51,13,100,5,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,23933,69,14,99,5,0.0,730,7504.0,33,5.4,3.504288760800677e-05
Hungary,1,2,19521,49,15,99,7,0.0,730,7504.0,33,5.4,2.8806349082275163e-05
Hungary,1,2,16745,71,13,98,7,0.0,730,7504.0,33,5.4,5.777281799096491e-05
Hungary,1,2,14371,48,15,97,7,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,29029,48,14,95,7,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,18392,50,14,94,10,0.0,730,7504.0,33,5.4,0.0002244238654579
Hungary,1,2,5744,47,13,93,11,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,14753,50,15,91,11,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,12374,53,12,92,10,0.0,730,7504.0,33,5.4,8.603436267418788e-05
Hungary,1,2,20705,54,12,88,7,0.0,730,7504.0,33,5.4,6.59683541079545e-05
Hungary,1,2,27803,58,14,0,6,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,15082,58,14,0,5,0.0,730,7504.0,33,5.4,8.104486362215291e-05
Hungary,1,2,9615,58,12,0,4,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,32526,60,13,0,3,0.0,730,7504.0,33,5.4,0.0
Hungary,1,2,13254,58,12,0,3,0.0,730,7504.0,33,5.4,0.0
Italy,1,2,40643,68,44,76,8,1.0,0,61997.0,137,278.5,1.361074841608957e-05
Italy,1,2,26280,69,46,75,7,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,55471,66,46,75,7,1.0,0,61997.0,137,278.5,0.0001006812703922
Italy,1,2,33480,67,47,76,6,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,54484,62,44,76,6,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,42659,62,47,76,6,1.0,0,61997.0,137,278.5,6.877655208787297e-05
Italy,1,2,21461,61,48,76,7,1.0,0,61997.0,137,278.5,3.885118069489267e-06
Italy,1,2,27411,58,49,77,8,1.0,0,61997.0,137,278.5,5.868049109547117e-05
Italy,1,2,62394,59,47,77,8,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,48523,60,48,76,10,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,27812,58,48,77,12,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,38112,58,50,77,12,1.0,0,61997.0,137,278.5,4.527580464060733e-05
Italy,1,2,37276,61,52,0,11,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,24225,65,51,0,11,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,34253,65,48,0,11,1.0,0,61997.0,137,278.5,4.223268408605311e-05
Italy,1,2,61153,62,51,0,10,1.0,0,61997.0,137,278.5,0.0
Italy,1,2,21090,65,48,0,9,1.0,0,61997.0,137,278.5,0.0
Lithuania,1,2,2283,68,38,100,13,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,10970,69,38,100,13,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,12769,69,38,100,15,0.5,0,3013.0,12,4.7,0.0001168108288729
Lithuania,1,2,8040,68,37,100,16,0.5,0,3013.0,12,4.7,3.0264901629989216e-05
Lithuania,1,2,13624,70,37,100,13,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,21120,70,35,100,12,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,10899,58,35,100,10,0.5,0,3013.0,12,4.7,0.0001873206175661
Lithuania,1,2,37611,57,36,100,8,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,20512,55,35,100,5,0.5,0,3013.0,12,4.7,0.0001218359510122
Lithuania,1,2,24284,54,36,100,4,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,21413,51,34,100,5,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,26480,55,33,100,13,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,34809,56,35,100,17,0.5,0,3013.0,12,4.7,4.179946101416716e-05
Lithuania,1,2,25152,56,35,100,15,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,21812,59,34,100,13,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,16491,57,30,100,11,0.5,0,3013.0,12,4.7,9.856058549284844e-05
Lithuania,1,2,24946,56,33,99,10,0.5,0,3013.0,12,4.7,2.000770870561569e-05
Lithuania,1,2,37770,61,33,0,9,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,21766,62,31,0,7,0.5,0,3013.0,12,4.7,0.0001222014619689
Lithuania,1,2,44880,63,33,0,6,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,47068,62,30,0,6,0.5,0,3013.0,12,4.7,0.0
Lithuania,1,2,38198,67,39,0,7,0.5,0,3013.0,12,4.7,4.265958218536348e-05
Netherlands,1,2,35940,69,66,84,6,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,51238,69,67,81,5,1.0,0,18695.0,100,287.9,4.785462366215506e-05
Netherlands,1,2,37854,69,67,80,4,1.0,0,18695.0,100,287.9,6.692074367881363e-05
Netherlands,1,2,24462,70,65,78,3,1.0,0,18695.0,100,287.9,0.0001347194147494
Netherlands,1,2,41272,70,64,79,2,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,51348,69,64,80,2,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,36921,69,65,80,2,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,36547,75,63,81,3,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,37191,68,60,80,4,1.0,0,18695.0,100,287.9,4.3697251234239344e-05
Netherlands,1,2,47475,72,61,80,5,1.0,0,18695.0,100,287.9,4.568061838154424e-05
Netherlands,1,2,41656,76,62,81,5,1.0,0,18695.0,100,287.9,1.1215567035824948e-05
Netherlands,1,2,36125,71,61,82,4,1.0,0,18695.0,100,287.9,4.7470761945117126e-05
Netherlands,1,2,38436,74,61,83,3,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,26595,76,62,83,4,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,49270,75,61,84,4,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,40582,73,63,88,4,1.0,0,18695.0,100,287.9,5.878645629051096e-05
Netherlands,1,2,47912,73,60,88,5,1.0,0,18695.0,100,287.9,3.0555884364689845e-05
Netherlands,1,2,34363,71,64,90,7,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,55276,76,66,90,7,1.0,0,18695.0,100,287.9,2.444969986140378e-05
Netherlands,1,2,40792,75,66,0,6,1.0,0,18695.0,100,287.9,0.0
Netherlands,1,2,43640,74,64,0,6,1.0,0,18695.0,100,287.9,1.088101249033153e-05
Netherlands,1,2,42029,72,66,0,4,1.0,0,18695.0,100,287.9,2.788174845123549e-05
Netherlands,1,2,44941,74,66,0,3,1.0,0,18695.0,100,287.9,1.97392837113711e-05
Netherlands,1,2,64374,75,65,0,3,1.0,0,18695.0,100,287.9,3.4813891956667204e-05
Netherlands,1,2,40079,74,41,0,3,1.0,0,18695.0,100,287.9,0.0
Norway,1,2,94346,69,59,67,5,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,73854,68,59,68,4,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,55206,69,58,68,3,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,27721,70,57,70,3,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,47218,69,55,69,3,0.0,180,17518.0,1,224.9,9.737409595131586e-05
Norway,1,2,55162,72,56,68,3,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,39941,70,59,69,4,0.0,180,17518.0,1,224.9,0.0001397196143054
Norway,1,2,79050,70,59,71,4,0.0,180,17518.0,1,224.9,0.0001429670185599
Norway,1,2,52922,73,59,74,4,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,49079,70,60,74,4,0.0,180,17518.0,1,224.9,3.201795550153992e-05
Norway,1,2,56358,75,60,76,3,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,62207,71,59,78,2,0.0,180,17518.0,1,224.9,5.9019024642463226e-05
Norway,1,2,43943,67,61,78,2,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,42278,71,60,79,3,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,62459,77,58,80,3,0.0,180,17518.0,1,224.9,8.745323713636723e-05
Norway,1,2,65420,67,60,81,3,0.0,180,17518.0,1,224.9,0.0
Norway,1,2,74928,74,57,80,3,0.0,180,17518.0,1,224.9,4.869549641905989e-05
Norway,1,2,54300,76,58,82,3,0.0,180,17518.0,1,224.9,0.000117491068221
Norway,1,2,57885,73,58,81,3,0.0,180,17518.0,1,224.9,4.488501964568657e-05
Norway,1,2,56723,75,59,0,4,0.0,180,17518.0,1,224.9,4.433445195294126e-05
Norway,1,2,70251,74,59,0,4,0.0,180,17518.0,1,224.9,0.0
Portugal,1,2,23525,69,90,77,4,0.8,0,8308.0,252,71.7,0.0
Portugal,1,2,44776,70,89,74,6,0.8,0,8308.0,252,71.7,4.43835218047644e-05
Portugal,1,2,19937,69,88,65,7,0.8,0,8308.0,252,71.7,0.0001157634088314
Portugal,1,2,23953,69,87,66,7,0.8,0,8308.0,252,71.7,0.0
Portugal,1,2,43467,49,88,67,7,0.8,0,8308.0,252,71.7,0.0001033782902237
Portugal,1,2,29243,50,90,68,9,0.8,0,8308.0,252,71.7,0.0
Portugal,1,2,42616,50,89,69,10,0.8,0,8308.0,252,71.7,7.230218595895697e-05
Portugal,1,2,26946,51,88,70,12,0.8,0,8308.0,252,71.7,0.0
Portugal,1,2,25431,52,88,71,15,0.8,0,8308.0,252,71.7,3.658547000354524e-05
Portugal,1,2,29759,50,84,77,16,0.8,0,8308.0,252,71.7,0.00013565563696
Portugal,1,2,25361,52,83,74,13,0.8,0,8308.0,252,71.7,9.243105185934952e-05
Portugal,1,2,43131,57,82,0,12,0.8,0,8308.0,252,71.7,0.0
Portugal,1,2,454,58,84,0,11,0.8,0,8308.0,252,71.7,4.325656995482853e-05
Portugal,1,2,7962,59,85,0,8,0.8,0,8308.0,252,71.7,5.56986953590115e-05
Portugal,1,2,19987,58,86,0,6,0.8,0,8308.0,252,71.7,0.0
Portugal,1,2,31228,59,85,0,6,0.8,0,8308.0,252,71.7,0.0
Sweden,1,2,20789,70,52,80,10,0.0,1095,118105.0,27,62.5,5.312939001789096e-05
Sweden,1,2,29187,73,53,89,8,0.0,1095,118105.0,27,62.5,0.0001293920179159
Sweden,1,2,24476,71,55,91,7,0.0,1095,118105.0,27,62.5,3.819370246826e-05
Sweden,1,2,32863,70,54,90,5,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,41851,68,53,89,4,0.0,1095,118105.0,27,62.5,5.038330738087926e-05
Sweden,1,2,41837,69,54,90,4,0.0,1095,118105.0,27,62.5,5.280547862063141e-05
Sweden,1,2,45140,75,53,88,5,0.0,1095,118105.0,27,62.5,0.0001421920687222
Sweden,1,2,37979,68,54,68,6,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,37124,72,54,71,7,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,55688,76,54,72,7,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,41451,73,55,73,6,0.0,1095,118105.0,27,62.5,3.997404621003603e-05
Sweden,1,2,51899,74,53,73,6,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,45958,74,53,72,8,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,46383,73,54,70,8,0.0,1095,118105.0,27,62.5,0.0002470077614401
Sweden,1,2,37371,75,53,67,7,0.0,1095,118105.0,27,62.5,9.83686947260284e-07
Sweden,1,2,36552,73,51,65,7,0.0,1095,118105.0,27,62.5,5.918206891385941e-05
Sweden,1,2,60210,72,54,81,8,0.0,1095,118105.0,27,62.5,2.469014889365812e-05
Sweden,1,2,48099,73,52,79,7,0.0,1095,118105.0,27,62.5,4.735600635814763e-05
Sweden,1,2,57735,72,53,0,7,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,35490,75,53,0,6,0.0,1095,118105.0,27,62.5,0.0
Sweden,1,2,29565,72,53,0,6,0.0,1095,118105.0,27,62.5,3.818315540170654e-05
Sweden,1,2,60698,74,53,0,6,0.0,1095,118105.0,27,62.5,0.0
Belgium,1,3,45584,73,46,80,9,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,41708,70,46,89,8,1.0,0,52262.0,70,139.0,3.9028611177202e-05
Belgium,1,3,51169,68,45,91,6,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,53073,69,47,97,6,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,34275,70,46,99,6,1.0,0,52262.0,70,139.0,9.665185570521e-05
Belgium,1,3,37542,71,47,100,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,24384,69,45,69,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,39172,72,48,70,8,1.0,0,52262.0,70,139.0,3.7829591615702328e-06
Belgium,1,3,50496,71,48,71,8,1.0,0,52262.0,70,139.0,0.0001219064563644
Belgium,1,3,38613,69,49,71,7,1.0,0,52262.0,70,139.0,1.2963166415409986e-05
Belgium,1,3,37262,68,49,70,6,1.0,0,52262.0,70,139.0,9.12235201674588e-05
Belgium,1,3,66118,70,50,70,7,1.0,0,52262.0,70,139.0,0.0001099246834833
Belgium,1,3,41798,70,48,69,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,69186,71,49,69,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,47912,68,49,68,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,33512,69,50,100,8,1.0,0,52262.0,70,139.0,6.63579548457718e-05
Belgium,1,3,32606,68,49,100,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,43917,69,50,0,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,20770,68,51,0,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,3,41029,68,49,0,7,1.0,0,52262.0,70,139.0,9.014772752495722e-05
Belgium,1,3,46074,67,48,0,5,1.0,0,52262.0,70,139.0,0.0
Finland,1,3,21826,71,52,83,15,0.0,180,27990.0,71,76.2,2.0915559153592265e-05
Finland,1,3,31037,69,52,84,14,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,35082,72,53,84,13,0.0,180,27990.0,71,76.2,2.5524262568018768e-05
Finland,1,3,23528,69,52,86,11,0.0,180,27990.0,71,76.2,1.3041033533037178e-05
Finland,1,3,46791,69,55,89,11,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,43324,71,53,90,10,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,31675,69,52,90,10,0.0,180,27990.0,71,76.2,9.057782872281958e-06
Finland,1,3,33648,68,50,91,10,0.0,180,27990.0,71,76.2,0.0001164324608274
Finland,1,3,54200,77,49,77,10,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,34488,71,48,77,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,35287,76,47,78,7,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,35514,68,49,78,6,0.0,180,27990.0,71,76.2,0.0001513074992079
Finland,1,3,55885,74,51,77,6,0.0,180,27990.0,71,76.2,5.7093741768269926e-05
Finland,1,3,33629,73,52,77,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,32296,72,51,77,8,0.0,180,27990.0,71,76.2,5.754538086686472e-05
Finland,1,3,49399,74,53,76,7,0.0,180,27990.0,71,76.2,1.9009755344367705e-05
Finland,1,3,48578,72,52,75,7,0.0,180,27990.0,71,76.2,2.417752382352004e-05
Finland,1,3,27193,76,51,97,8,0.0,180,27990.0,71,76.2,7.515504317394753e-05
Finland,1,3,39423,76,49,97,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,46868,78,50,0,9,0.0,180,27990.0,71,76.2,4.368026144442963e-05
Finland,1,3,33690,77,51,0,8,0.0,180,27990.0,71,76.2,9.635003188094376e-05
Finland,1,3,27258,78,47,0,8,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,45001,78,49,0,7,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,44890,77,50,0,6,0.0,180,27990.0,71,76.2,0.0
Finland,1,3,51015,78,39,0,7,0.0,180,27990.0,71,76.2,0.0
France,1,3,53743,69,71,87,10,0.0,365,352473.0,500,205.8,0.0
France,1,3,41172,70,72,87,8,0.0,365,352473.0,500,205.8,0.0
France,1,3,59155,67,71,86,8,0.0,365,352473.0,500,205.8,4.821129571561829e-05
France,1,3,62042,71,72,86,8,0.0,365,352473.0,500,205.8,0.0
France,1,3,28820,67,70,86,8,0.0,365,352473.0,500,205.8,2.606879555265367e-05
France,1,3,52363,71,69,89,8,0.0,365,352473.0,500,205.8,4.21622462181553e-05
France,1,3,33204,69,70,88,8,0.0,365,352473.0,500,205.8,0.0001213704125635
France,1,3,33709,62,68,88,7,0.0,365,352473.0,500,205.8,0.0001503439656761
France,1,3,18667,68,67,87,7,0.0,365,352473.0,500,205.8,8.17387733249576e-05
France,1,3,37290,69,68,86,8,0.0,365,352473.0,500,205.8,0.0001047446864685
France,1,3,17596,69,68,87,8,0.0,365,352473.0,500,205.8,0.0001241913650879
France,1,3,56051,66,67,87,8,0.0,365,352473.0,500,205.8,9.3410908065864e-05
France,1,3,27024,64,68,87,9,0.0,365,352473.0,500,205.8,0.0
France,1,3,31234,64,66,87,9,0.0,365,352473.0,500,205.8,5.325931707442317e-05
France,1,3,32223,63,66,88,10,0.0,365,352473.0,500,205.8,0.0
France,1,3,48101,67,66,0,10,0.0,365,352473.0,500,205.8,0.0
France,1,3,47326,67,64,0,10,0.0,365,352473.0,500,205.8,7.011239220394552e-05
France,1,3,53512,66,65,0,9,0.0,365,352473.0,500,205.8,0.0
Germany,1,3,17488,70,45,97,9,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,11628,72,46,98,8,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,44390,70,46,99,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,32187,67,45,100,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,37302,69,46,100,8,1.0,0,375379.0,349,343.2,0.0001301762797707
Germany,1,3,44881,65,47,100,9,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,25320,70,48,100,10,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,43375,63,48,99,11,1.0,0,375379.0,349,343.2,6.031059741620424e-05
Germany,1,3,52790,67,49,98,10,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,30215,65,50,95,8,1.0,0,375379.0,349,343.2,0.0001206451570571
Germany,1,3,56166,67,50,94,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,43010,65,52,92,7,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,15128,67,50,92,6,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,67354,69,53,90,5,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,37311,70,51,88,5,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,45017,71,52,87,5,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,81430,69,51,86,4,1.0,0,375379.0,349,343.2,4.706805469392957e-05
Germany,1,3,23620,72,53,0,4,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,55311,70,49,0,4,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,47276,69,50,0,3,1.0,0,375379.0,349,343.2,0.0
Germany,1,3,39033,74,49,0,3,1.0,0,375379.0,349,343.2,2.2152138061726845e-06
